clip_id,text_label,text_confidence,acoustic_label,acoustic_confidence,final_label,confidence,flagged_for_review,acoustic_features
clip_0014,Calm,0.9287,Calm,0.65,Calm,0.8172,False,"{""mean_pitch"": 96.0, ""pitch_range"": 138.74, ""pitch_std"": 26.56, ""mean_energy"": 0.0846, ""energy_std"": 0.0529, ""mean_zcr"": 0.1818, ""duration"": 20.0}"
clip_0015,Calm,0.9673,High Stress,0.7,Calm,0.5804,True,"{""mean_pitch"": 96.16, ""pitch_range"": 170.82, ""pitch_std"": 21.48, ""mean_energy"": 0.07788, ""energy_std"": 0.05257, ""mean_zcr"": 0.1948, ""duration"": 20.0}"
clip_0016,Calm,0.8077,High Stress,0.7,Calm,0.4846,True,"{""mean_pitch"": 107.12, ""pitch_range"": 190.52, ""pitch_std"": 42.1, ""mean_energy"": 0.08414, ""energy_std"": 0.05371, ""mean_zcr"": 0.1922, ""duration"": 20.0}"
clip_0017,Calm,0.8369,High Stress,0.7,Calm,0.5022,True,"{""mean_pitch"": 102.93, ""pitch_range"": 152.57, ""pitch_std"": 28.73, ""mean_energy"": 0.08731, ""energy_std"": 0.0484, ""mean_zcr"": 0.1922, ""duration"": 20.0}"
clip_0018,High Stress,0.8765,Calm,0.65,High Stress,0.5259,True,"{""mean_pitch"": 123.01, ""pitch_range"": 140.37, ""pitch_std"": 49.11, ""mean_energy"": 0.08118, ""energy_std"": 0.05825, ""mean_zcr"": 0.1942, ""duration"": 20.0}"
clip_0019,Frustrated,0.3939,Calm,0.65,Calm,0.26,True,"{""mean_pitch"": 105.76, ""pitch_range"": 132.11, ""pitch_std"": 29.82, ""mean_energy"": 0.05884, ""energy_std"": 0.03918, ""mean_zcr"": 0.1831, ""duration"": 20.0}"
clip_0020,Calm,0.9472,Calm,0.65,Calm,0.8283,False,"{""mean_pitch"": 93.74, ""pitch_range"": 64.23, ""pitch_std"": 7.49, ""mean_energy"": 0.08523, ""energy_std"": 0.05205, ""mean_zcr"": 0.1942, ""duration"": 20.0}"
clip_0021,Calm,0.8617,High Stress,0.7,Calm,0.517,True,"{""mean_pitch"": 109.07, ""pitch_range"": 301.7, ""pitch_std"": 54.5, ""mean_energy"": 0.08525, ""energy_std"": 0.05209, ""mean_zcr"": 0.1917, ""duration"": 20.0}"
clip_0022,Urgent,0.4137,Calm,0.65,Calm,0.26,True,"{""mean_pitch"": 102.1, ""pitch_range"": 135.86, ""pitch_std"": 30.63, ""mean_energy"": 0.08629, ""energy_std"": 0.05011, ""mean_zcr"": 0.197, ""duration"": 20.0}"
clip_0023,Calm,0.864,Calm,0.65,Calm,0.7784,False,"{""mean_pitch"": 99.04, ""pitch_range"": 69.29, ""pitch_std"": 21.65, ""mean_energy"": 0.08036, ""energy_std"": 0.05842, ""mean_zcr"": 0.1696, ""duration"": 5.056}"
clip_0024,Calm,0.8741,Calm,0.65,Calm,0.7845,False,"{""mean_pitch"": 138.5, ""pitch_range"": 41.57, ""pitch_std"": 17.32, ""mean_energy"": 0.08641, ""energy_std"": 0.04863, ""mean_zcr"": 0.1892, ""duration"": 2.24}"
clip_0025,Calm,0.8757,High Stress,0.7,Calm,0.5254,True,"{""mean_pitch"": 122.41, ""pitch_range"": 261.56, ""pitch_std"": 73.87, ""mean_energy"": 0.08004, ""energy_std"": 0.05564, ""mean_zcr"": 0.1951, ""duration"": 19.68}"
clip_0026,Calm,0.964,High Stress,0.7,Calm,0.5784,True,"{""mean_pitch"": 253.28, ""pitch_range"": 327.85, ""pitch_std"": 101.04, ""mean_energy"": 0.05033, ""energy_std"": 0.05102, ""mean_zcr"": 0.1323, ""duration"": 9.632}"
clip_0027,Calm,0.7382,Calm,0.65,Calm,0.7029,False,"{""mean_pitch"": 121.18, ""pitch_range"": 71.38, ""pitch_std"": 20.19, ""mean_energy"": 0.07314, ""energy_std"": 0.0664, ""mean_zcr"": 0.1529, ""duration"": 2.144}"
clip_0028,Calm,0.9594,Calm,0.65,Calm,0.8356,False,"{""mean_pitch"": 174.43, ""pitch_range"": 93.63, ""pitch_std"": 23.59, ""mean_energy"": 0.08607, ""energy_std"": 0.04991, ""mean_zcr"": 0.1264, ""duration"": 3.104}"
clip_0029,Calm,0.6829,High Stress,0.7,Calm,0.4098,True,"{""mean_pitch"": 173.82, ""pitch_range"": 168.15, ""pitch_std"": 42.78, ""mean_energy"": 0.07505, ""energy_std"": 0.06608, ""mean_zcr"": 0.1064, ""duration"": 5.312}"
clip_0030,Calm,0.8495,Calm,0.65,Calm,0.7697,False,"{""mean_pitch"": 167.13, ""pitch_range"": 122.3, ""pitch_std"": 25.18, ""mean_energy"": 0.07193, ""energy_std"": 0.0686, ""mean_zcr"": 0.1285, ""duration"": 2.72}"
clip_0031,Calm,0.928,Calm,0.65,Calm,0.8168,False,"{""mean_pitch"": 163.1, ""pitch_range"": 129.73, ""pitch_std"": 27.6, ""mean_energy"": 0.07932, ""energy_std"": 0.05999, ""mean_zcr"": 0.1431, ""duration"": 2.88}"
clip_0032,Calm,0.9366,High Stress,0.7,Calm,0.562,True,"{""mean_pitch"": 165.71, ""pitch_range"": 175.29, ""pitch_std"": 33.58, ""mean_energy"": 0.07422, ""energy_std"": 0.06308, ""mean_zcr"": 0.128, ""duration"": 7.264}"
clip_0033,Calm,0.8781,Calm,0.65,Calm,0.7869,False,"{""mean_pitch"": 127.86, ""pitch_range"": 143.82, ""pitch_std"": 31.02, ""mean_energy"": 0.05894, ""energy_std"": 0.05807, ""mean_zcr"": 0.1684, ""duration"": 8.768}"
clip_0034,Calm,0.6682,Calm,0.65,Calm,0.6609,False,"{""mean_pitch"": 178.68, ""pitch_range"": 124.8, ""pitch_std"": 26.41, ""mean_energy"": 0.08211, ""energy_std"": 0.05677, ""mean_zcr"": 0.1207, ""duration"": 9.44}"
clip_0035,Urgent,0.5296,Frustrated,0.6,Urgent,0.3178,True,"{""mean_pitch"": 222.07, ""pitch_range"": 376.19, ""pitch_std"": 90.2, ""mean_energy"": 0.04372, ""energy_std"": 0.05532, ""mean_zcr"": 0.0954, ""duration"": 5.856}"
clip_0036,Calm,0.9046,High Stress,0.7,Calm,0.5427,True,"{""mean_pitch"": 195.22, ""pitch_range"": 429.81, ""pitch_std"": 115.11, ""mean_energy"": 0.07752, ""energy_std"": 0.04682, ""mean_zcr"": 0.1419, ""duration"": 20.0}"
clip_0037,Calm,0.7184,High Stress,0.7,Calm,0.431,True,"{""mean_pitch"": 148.3, ""pitch_range"": 199.85, ""pitch_std"": 60.08, ""mean_energy"": 0.08338, ""energy_std"": 0.05345, ""mean_zcr"": 0.1539, ""duration"": 20.0}"
clip_0038,Calm,0.9574,High Stress,0.7,Calm,0.5745,True,"{""mean_pitch"": 167.44, ""pitch_range"": 406.28, ""pitch_std"": 84.2, ""mean_energy"": 0.08703, ""energy_std"": 0.04902, ""mean_zcr"": 0.1593, ""duration"": 20.0}"
clip_0039,Calm,0.7326,High Stress,0.7,Calm,0.4396,True,"{""mean_pitch"": 187.57, ""pitch_range"": 498.03, ""pitch_std"": 118.11, ""mean_energy"": 0.08962, ""energy_std"": 0.04415, ""mean_zcr"": 0.1411, ""duration"": 20.0}"
clip_0040,Calm,0.5235,High Stress,0.7,Calm,0.3141,True,"{""mean_pitch"": 137.63, ""pitch_range"": 192.07, ""pitch_std"": 54.17, ""mean_energy"": 0.08875, ""energy_std"": 0.0459, ""mean_zcr"": 0.1728, ""duration"": 20.0}"
clip_0041,Calm,0.8767,High Stress,0.7,Calm,0.526,True,"{""mean_pitch"": 176.94, ""pitch_range"": 384.8, ""pitch_std"": 75.08, ""mean_energy"": 0.08591, ""energy_std"": 0.05073, ""mean_zcr"": 0.1432, ""duration"": 20.0}"
clip_0042,Calm,0.7089,High Stress,0.7,Calm,0.4253,True,"{""mean_pitch"": 147.32, ""pitch_range"": 201.84, ""pitch_std"": 62.16, ""mean_energy"": 0.08546, ""energy_std"": 0.05164, ""mean_zcr"": 0.145, ""duration"": 20.0}"
clip_0043,Calm,0.6594,High Stress,0.7,Calm,0.3956,True,"{""mean_pitch"": 131.99, ""pitch_range"": 203.9, ""pitch_std"": 62.41, ""mean_energy"": 0.08529, ""energy_std"": 0.05205, ""mean_zcr"": 0.1566, ""duration"": 20.0}"
clip_0044,Calm,0.9033,High Stress,0.7,Calm,0.542,True,"{""mean_pitch"": 116.6, ""pitch_range"": 176.99, ""pitch_std"": 53.78, ""mean_energy"": 0.08648, ""energy_std"": 0.04994, ""mean_zcr"": 0.1431, ""duration"": 20.0}"
clip_0045,Calm,0.954,High Stress,0.7,Calm,0.5724,True,"{""mean_pitch"": 146.95, ""pitch_range"": 185.85, ""pitch_std"": 61.79, ""mean_energy"": 0.06742, ""energy_std"": 0.04389, ""mean_zcr"": 0.1602, ""duration"": 20.0}"
clip_0046,Calm,0.8435,High Stress,0.7,Calm,0.5061,True,"{""mean_pitch"": 140.27, ""pitch_range"": 178.45, ""pitch_std"": 55.48, ""mean_energy"": 0.09117, ""energy_std"": 0.04089, ""mean_zcr"": 0.1714, ""duration"": 20.0}"
clip_0047,Calm,0.8172,High Stress,0.7,Calm,0.4903,True,"{""mean_pitch"": 136.05, ""pitch_range"": 183.71, ""pitch_std"": 58.93, ""mean_energy"": 0.08711, ""energy_std"": 0.0489, ""mean_zcr"": 0.1304, ""duration"": 20.0}"
clip_0048,Calm,0.9336,High Stress,0.7,Calm,0.5602,True,"{""mean_pitch"": 134.12, ""pitch_range"": 181.73, ""pitch_std"": 54.98, ""mean_energy"": 0.08791, ""energy_std"": 0.04739, ""mean_zcr"": 0.1712, ""duration"": 20.0}"
clip_0049,Calm,0.6921,High Stress,0.7,Calm,0.4153,True,"{""mean_pitch"": 171.83, ""pitch_range"": 422.9, ""pitch_std"": 106.81, ""mean_energy"": 0.08724, ""energy_std"": 0.04869, ""mean_zcr"": 0.1596, ""duration"": 20.0}"
clip_0050,Calm,0.5185,Urgent,0.75,Calm,0.3111,True,"{""mean_pitch"": 275.37, ""pitch_range"": 1838.37, ""pitch_std"": 326.98, ""mean_energy"": 0.07116, ""energy_std"": 0.0568, ""mean_zcr"": 0.1998, ""duration"": 4.128}"
clip_0051,Calm,0.8819,Calm,0.65,Calm,0.7892,False,"{""mean_pitch"": 194.47, ""pitch_range"": 90.84, ""pitch_std"": 17.68, ""mean_energy"": 0.08194, ""energy_std"": 0.05663, ""mean_zcr"": 0.2003, ""duration"": 4.064}"
clip_0052,Calm,0.8988,Calm,0.65,Calm,0.7993,False,"{""mean_pitch"": 136.3, ""pitch_range"": 60.48, ""pitch_std"": 16.71, ""mean_energy"": 0.07663, ""energy_std"": 0.06321, ""mean_zcr"": 0.1767, ""duration"": 2.4}"
clip_0053,Calm,0.8906,Calm,0.65,Calm,0.7943,False,"{""mean_pitch"": 143.11, ""pitch_range"": 132.87, ""pitch_std"": 27.85, ""mean_energy"": 0.08777, ""energy_std"": 0.04726, ""mean_zcr"": 0.1805, ""duration"": 5.088}"
clip_0054,Calm,0.9401,High Stress,0.7,Calm,0.5641,True,"{""mean_pitch"": 189.05, ""pitch_range"": 427.33, ""pitch_std"": 105.92, ""mean_energy"": 0.09007, ""energy_std"": 0.04325, ""mean_zcr"": 0.128, ""duration"": 20.0}"
clip_0055,Calm,0.9508,High Stress,0.7,Calm,0.5705,True,"{""mean_pitch"": 207.94, ""pitch_range"": 1932.32, ""pitch_std"": 238.13, ""mean_energy"": 0.08795, ""energy_std"": 0.04742, ""mean_zcr"": 0.1495, ""duration"": 20.0}"
clip_0056,Calm,0.9483,High Stress,0.7,Calm,0.569,True,"{""mean_pitch"": 163.89, ""pitch_range"": 435.58, ""pitch_std"": 104.81, ""mean_energy"": 0.08955, ""energy_std"": 0.04429, ""mean_zcr"": 0.1479, ""duration"": 20.0}"
clip_0057,Calm,0.5676,High Stress,0.7,Calm,0.3406,True,"{""mean_pitch"": 229.81, ""pitch_range"": 429.67, ""pitch_std"": 133.97, ""mean_energy"": 0.08716, ""energy_std"": 0.04863, ""mean_zcr"": 0.1396, ""duration"": 20.0}"
clip_0058,Calm,0.9368,High Stress,0.7,Calm,0.5621,True,"{""mean_pitch"": 142.82, ""pitch_range"": 199.65, ""pitch_std"": 52.96, ""mean_energy"": 0.08747, ""energy_std"": 0.04815, ""mean_zcr"": 0.1606, ""duration"": 20.0}"
clip_0059,Calm,0.9434,High Stress,0.7,Calm,0.5661,True,"{""mean_pitch"": 116.45, ""pitch_range"": 196.56, ""pitch_std"": 52.46, ""mean_energy"": 0.0852, ""energy_std"": 0.05192, ""mean_zcr"": 0.1359, ""duration"": 20.0}"
clip_0060,Calm,0.8757,Calm,0.65,Calm,0.7854,False,"{""mean_pitch"": 115.6, ""pitch_range"": 124.52, ""pitch_std"": 34.5, ""mean_energy"": 0.08677, ""energy_std"": 0.04925, ""mean_zcr"": 0.1711, ""duration"": 20.0}"
clip_0061,Calm,0.5269,High Stress,0.7,Calm,0.3162,True,"{""mean_pitch"": 144.53, ""pitch_range"": 457.84, ""pitch_std"": 88.06, ""mean_energy"": 0.06766, ""energy_std"": 0.04867, ""mean_zcr"": 0.1484, ""duration"": 19.04}"
clip_0062,Calm,0.4903,Calm,0.65,Calm,0.5542,True,"{""mean_pitch"": 157.58, ""pitch_range"": 110.37, ""pitch_std"": 24.98, ""mean_energy"": 0.07373, ""energy_std"": 0.06698, ""mean_zcr"": 0.1713, ""duration"": 4.096}"
clip_0063,Calm,0.9517,High Stress,0.7,Calm,0.571,True,"{""mean_pitch"": 128.19, ""pitch_range"": 168.26, ""pitch_std"": 26.69, ""mean_energy"": 0.07037, ""energy_std"": 0.0707, ""mean_zcr"": 0.2284, ""duration"": 6.464}"
clip_0064,Calm,0.9338,Calm,0.65,Calm,0.8203,False,"{""mean_pitch"": 172.21, ""pitch_range"": 145.38, ""pitch_std"": 25.78, ""mean_energy"": 0.0824, ""energy_std"": 0.0559, ""mean_zcr"": 0.2444, ""duration"": 3.68}"
clip_0065,Calm,0.8912,High Stress,0.7,Calm,0.5347,True,"{""mean_pitch"": 169.51, ""pitch_range"": 454.45, ""pitch_std"": 118.99, ""mean_energy"": 0.08834, ""energy_std"": 0.04667, ""mean_zcr"": 0.1307, ""duration"": 20.0}"
clip_0066,Calm,0.9468,High Stress,0.7,Calm,0.5681,True,"{""mean_pitch"": 177.29, ""pitch_range"": 428.64, ""pitch_std"": 96.69, ""mean_energy"": 0.0858, ""energy_std"": 0.05118, ""mean_zcr"": 0.148, ""duration"": 20.0}"
clip_0067,Calm,0.5593,High Stress,0.7,Calm,0.3356,True,"{""mean_pitch"": 150.5, ""pitch_range"": 442.95, ""pitch_std"": 113.01, ""mean_energy"": 0.08701, ""energy_std"": 0.04907, ""mean_zcr"": 0.1398, ""duration"": 20.0}"
clip_0068,Calm,0.9451,High Stress,0.7,Calm,0.5671,True,"{""mean_pitch"": 185.15, ""pitch_range"": 240.84, ""pitch_std"": 61.68, ""mean_energy"": 0.08441, ""energy_std"": 0.0534, ""mean_zcr"": 0.1506, ""duration"": 20.0}"
clip_0069,Calm,0.6988,High Stress,0.7,Calm,0.4193,True,"{""mean_pitch"": 152.07, ""pitch_range"": 436.13, ""pitch_std"": 97.8, ""mean_energy"": 0.08634, ""energy_std"": 0.05024, ""mean_zcr"": 0.1757, ""duration"": 20.0}"
clip_0070,Calm,0.8419,High Stress,0.7,Calm,0.5052,True,"{""mean_pitch"": 135.22, ""pitch_range"": 1932.32, ""pitch_std"": 214.54, ""mean_energy"": 0.08546, ""energy_std"": 0.05167, ""mean_zcr"": 0.1527, ""duration"": 20.0}"
clip_0071,High Stress,0.5118,High Stress,0.7,High Stress,0.5871,True,"{""mean_pitch"": 145.98, ""pitch_range"": 207.09, ""pitch_std"": 63.77, ""mean_energy"": 0.07698, ""energy_std"": 0.04676, ""mean_zcr"": 0.1622, ""duration"": 19.68}"
clip_0072,Calm,0.9352,High Stress,0.7,Calm,0.5611,True,"{""mean_pitch"": 133.18, ""pitch_range"": 183.02, ""pitch_std"": 51.27, ""mean_energy"": 0.08849, ""energy_std"": 0.04639, ""mean_zcr"": 0.1569, ""duration"": 18.944}"
clip_0073,Calm,0.9178,Calm,0.65,Calm,0.8107,False,"{""mean_pitch"": 149.46, ""pitch_range"": 144.79, ""pitch_std"": 43.34, ""mean_energy"": 0.07157, ""energy_std"": 0.0587, ""mean_zcr"": 0.226, ""duration"": 13.344}"
clip_0074,Calm,0.674,Calm,0.65,Calm,0.6644,False,"{""mean_pitch"": 112.84, ""pitch_range"": 57.76, ""pitch_std"": 11.06, ""mean_energy"": 0.07936, ""energy_std"": 0.05975, ""mean_zcr"": 0.1404, ""duration"": 2.432}"
clip_0075,Calm,0.9415,High Stress,0.7,Calm,0.5649,True,"{""mean_pitch"": 176.6, ""pitch_range"": 173.2, ""pitch_std"": 49.09, ""mean_energy"": 0.07806, ""energy_std"": 0.06176, ""mean_zcr"": 0.1558, ""duration"": 3.552}"
clip_0076,Calm,0.5194,Calm,0.65,Calm,0.5716,True,"{""mean_pitch"": 169.43, ""pitch_range"": 136.95, ""pitch_std"": 23.04, ""mean_energy"": 0.08401, ""energy_std"": 0.05353, ""mean_zcr"": 0.1901, ""duration"": 4.128}"
clip_0077,Calm,0.8991,Calm,0.65,Calm,0.7995,False,"{""mean_pitch"": 114.08, ""pitch_range"": 55.07, ""pitch_std"": 10.98, ""mean_energy"": 0.0584, ""energy_std"": 0.05606, ""mean_zcr"": 0.182, ""duration"": 2.688}"
clip_0078,Calm,0.8267,High Stress,0.7,Calm,0.496,True,"{""mean_pitch"": 181.13, ""pitch_range"": 170.34, ""pitch_std"": 39.67, ""mean_energy"": 0.08289, ""energy_std"": 0.05483, ""mean_zcr"": 0.1922, ""duration"": 2.624}"
clip_0079,Calm,0.9525,High Stress,0.7,Calm,0.5715,True,"{""mean_pitch"": 180.01, ""pitch_range"": 220.19, ""pitch_std"": 59.91, ""mean_energy"": 0.0684, ""energy_std"": 0.04154, ""mean_zcr"": 0.1318, ""duration"": 20.0}"
clip_0080,Calm,0.942,High Stress,0.7,Calm,0.5652,True,"{""mean_pitch"": 162.88, ""pitch_range"": 437.32, ""pitch_std"": 114.33, ""mean_energy"": 0.087, ""energy_std"": 0.04875, ""mean_zcr"": 0.1446, ""duration"": 20.0}"
clip_0081,Calm,0.8958,High Stress,0.7,Calm,0.5375,True,"{""mean_pitch"": 112.38, ""pitch_range"": 193.91, ""pitch_std"": 51.93, ""mean_energy"": 0.08601, ""energy_std"": 0.05038, ""mean_zcr"": 0.1556, ""duration"": 20.0}"
clip_0082,Frustrated,0.5811,High Stress,0.7,Frustrated,0.3487,True,"{""mean_pitch"": 123.21, ""pitch_range"": 204.69, ""pitch_std"": 55.07, ""mean_energy"": 0.08909, ""energy_std"": 0.0451, ""mean_zcr"": 0.1472, ""duration"": 20.0}"
clip_0083,Calm,0.6184,High Stress,0.7,Calm,0.3711,True,"{""mean_pitch"": 117.84, ""pitch_range"": 223.08, ""pitch_std"": 58.9, ""mean_energy"": 0.0877, ""energy_std"": 0.04787, ""mean_zcr"": 0.1473, ""duration"": 20.0}"
clip_0084,Calm,0.6229,High Stress,0.7,Calm,0.3737,True,"{""mean_pitch"": 117.06, ""pitch_range"": 184.88, ""pitch_std"": 49.42, ""mean_energy"": 0.08753, ""energy_std"": 0.04815, ""mean_zcr"": 0.1567, ""duration"": 20.0}"
clip_0085,Calm,0.932,Calm,0.65,Calm,0.8192,False,"{""mean_pitch"": 189.0, ""pitch_range"": 142.32, ""pitch_std"": 33.79, ""mean_energy"": 0.07652, ""energy_std"": 0.06384, ""mean_zcr"": 0.142, ""duration"": 4.96}"
clip_0086,Calm,0.8757,High Stress,0.7,Calm,0.5254,True,"{""mean_pitch"": 122.25, ""pitch_range"": 261.56, ""pitch_std"": 74.19, ""mean_energy"": 0.08017, ""energy_std"": 0.05566, ""mean_zcr"": 0.1948, ""duration"": 19.68}"
clip_0087,Calm,0.9061,Calm,0.65,Calm,0.8037,False,"{""mean_pitch"": 128.51, ""pitch_range"": 100.29, ""pitch_std"": 22.25, ""mean_energy"": 0.04418, ""energy_std"": 0.04602, ""mean_zcr"": 0.169, ""duration"": 9.408}"
clip_0088,Calm,0.9041,Calm,0.65,Calm,0.8024,False,"{""mean_pitch"": 125.78, ""pitch_range"": 120.52, ""pitch_std"": 18.39, ""mean_energy"": 0.06019, ""energy_std"": 0.06171, ""mean_zcr"": 0.1415, ""duration"": 9.44}"
clip_0089,Calm,0.7689,Calm,0.65,Calm,0.7214,False,"{""mean_pitch"": 109.11, ""pitch_range"": 18.39, ""pitch_std"": 4.7, ""mean_energy"": 0.09155, ""energy_std"": 0.03893, ""mean_zcr"": 0.168, ""duration"": 3.104}"
clip_0090,Calm,0.8053,Calm,0.65,Calm,0.7432,False,"{""mean_pitch"": 117.75, ""pitch_range"": 22.72, ""pitch_std"": 7.38, ""mean_energy"": 0.05596, ""energy_std"": 0.06805, ""mean_zcr"": 0.134, ""duration"": 2.176}"
clip_0091,Calm,0.8827,Calm,0.65,Calm,0.7896,False,"{""mean_pitch"": 114.22, ""pitch_range"": 65.39, ""pitch_std"": 19.72, ""mean_energy"": 0.03315, ""energy_std"": 0.04175, ""mean_zcr"": 0.1428, ""duration"": 4.384}"
clip_0092,Calm,0.783,Calm,0.65,Calm,0.7298,False,"{""mean_pitch"": 123.34, ""pitch_range"": 134.02, ""pitch_std"": 32.82, ""mean_energy"": 0.0332, ""energy_std"": 0.02925, ""mean_zcr"": 0.15, ""duration"": 20.0}"
clip_0093,Calm,0.3817,High Stress,0.7,High Stress,0.28,True,"{""mean_pitch"": 122.71, ""pitch_range"": 184.03, ""pitch_std"": 31.1, ""mean_energy"": 0.07603, ""energy_std"": 0.06111, ""mean_zcr"": 0.1523, ""duration"": 20.0}"
clip_0094,Calm,0.3981,High Stress,0.7,High Stress,0.28,True,"{""mean_pitch"": 112.09, ""pitch_range"": 196.21, ""pitch_std"": 33.55, ""mean_energy"": 0.086, ""energy_std"": 0.05035, ""mean_zcr"": 0.1656, ""duration"": 20.0}"
clip_0095,Calm,0.9445,Calm,0.65,Calm,0.8267,False,"{""mean_pitch"": 93.9, ""pitch_range"": 79.74, ""pitch_std"": 18.65, ""mean_energy"": 0.07932, ""energy_std"": 0.05526, ""mean_zcr"": 0.1675, ""duration"": 20.0}"
clip_0096,Calm,0.3856,Calm,0.65,Calm,0.4914,True,"{""mean_pitch"": 100.56, ""pitch_range"": 102.29, ""pitch_std"": 21.66, ""mean_energy"": 0.08428, ""energy_std"": 0.05356, ""mean_zcr"": 0.1705, ""duration"": 20.0}"
clip_0097,Calm,0.7785,Calm,0.65,Calm,0.7271,False,"{""mean_pitch"": 101.04, ""pitch_range"": 126.3, ""pitch_std"": 26.13, ""mean_energy"": 0.08784, ""energy_std"": 0.04758, ""mean_zcr"": 0.1604, ""duration"": 20.0}"
clip_0098,Calm,0.7779,Calm,0.65,Calm,0.7267,False,"{""mean_pitch"": 112.47, ""pitch_range"": 147.1, ""pitch_std"": 36.96, ""mean_energy"": 0.08592, ""energy_std"": 0.05091, ""mean_zcr"": 0.1587, ""duration"": 20.0}"
clip_0099,Calm,0.4571,Calm,0.65,Calm,0.5342,True,"{""mean_pitch"": 104.36, ""pitch_range"": 123.84, ""pitch_std"": 25.52, ""mean_energy"": 0.08485, ""energy_std"": 0.05273, ""mean_zcr"": 0.164, ""duration"": 19.968}"
clip_0100,Calm,0.8119,Calm,0.65,Calm,0.7471,False,"{""mean_pitch"": 108.9, ""pitch_range"": 142.25, ""pitch_std"": 39.22, ""mean_energy"": 0.08496, ""energy_std"": 0.05236, ""mean_zcr"": 0.1599, ""duration"": 20.0}"
