clip_id,text_label,text_confidence,acoustic_label,acoustic_confidence,final_label,confidence,flagged_for_review,mean_pitch,pitch_range,pitch_std,mean_energy,energy_std,mean_zcr,duration,clean_text,word_count,label_id
clip_1103,Frustrated,0.4284,High Stress,0.7,High Stress,0.28,False,140.5,196.97,56.04,0.08603,0.05077,0.2209,20.0,"and also exit from 3 i do something with the button strat 6 keep him behind if you can why don't you have overtake? you have overtake, you have overtake",28,2
clip_1241,Calm,0.8752,High Stress,0.7,Frustrated,0.5251,False,156.7,201.43,43.53,0.08861,0.04633,0.169,35.0,"use my code daily fuel up to get 20 off your car vertical report. the link is in the description and ping comment and it automatically applies to discount. coming back to the video, at this point you already know alonso on the radio is built different. the man hasn't exactly made a lot of friends over the years. one of his most memorable victims was jolly and palmer in italy 2017 when they had a little on track running. and this is what he said when he later found out that the brits had retired from the race.",97,1
clip_0250,High Stress,0.6568,High Stress,0.7,High Stress,0.6741,False,121.18,266.13,65.06,0.05761,0.05101,0.1883,19.872,we come into the pit lane.,6,2
clip_0576,Calm,0.7006,High Stress,0.7,High Stress,0.4203,False,167.21,1414.57,246.88,0.06862,0.0295,0.1981,20.0,"overtake is enabled antonelli has overtake behind you you have the overtake, you have the overtake as a overtake behind you you have the overtake and reminder sm in",29,2
clip_1059,Calm,0.8719,High Stress,0.7,Frustrated,0.5231,False,120.13,200.79,36.49,0.0865,0.04995,0.2093,20.0,"yeah, i got no deployment. mode slow. let's check a flag for us. yeah, i got no deployment at all. copy that, sergio. yeah, it was a half run. at the moment we are p22. and",35,1
clip_1182,Calm,0.8941,Calm,0.65,Calm,0.7965,False,98.61,64.14,10.94,0.07249,0.05165,0.2265,20.0,"he is on a new obedience, when he catches up with us, let's try not to lose time with him. okay. alright, gap two checker behind, it's 2.9. double yellow where you are, watch out for ocon and colquinto. clear. alright.",40,0
clip_0599,Calm,0.7993,Calm,0.65,Calm,0.7396,False,130.66,144.83,38.21,0.09055,0.04199,0.1748,20.0,"do you have a vwt? overtake available, charles as well. only place to improve, n31. but think about your size there. how much do i need to improve there? one tenth and a half. and the earlier full throttle out of 12.",40,0
clip_1158,Calm,0.911,Calm,0.65,Calm,0.8066,False,99.72,47.49,9.73,0.03995,0.04408,0.1858,17.6,"and it's good to go into the intel crashing start line and then we'll go into mode formation. on the formation lap, we're trying to keep the rear carcasses up. we could do some little mini burnouts in turns 6, 11 and 14 if it feels strong. otherwise, when we get to the back of the grid coming out of turn 16, let's do four burnout.",62,0
clip_0459,Calm,0.8753,Calm,0.65,Calm,0.7852,False,118.1,129.59,30.31,0.07056,0.04619,0.2108,20.0,"this is 36.9, 0.4, gap at 1.6, and this is just half a tenth slower. it's difficult to be pulling the gap out a little bit more, so you can push more, turn",30,0
clip_0843,High Stress,0.65,Calm,0.65,High Stress,0.39,False,92.41,68.54,12.79,0.08938,0.0443,0.2054,20.0,"stop, turn three. safety car, safety car, safety car, mode safety car, mode safety car. blocks? yeah, we'll stop by the box. and you know what pirate is. well, obviously it's a hard. yeah, and",35,2
clip_1309,Calm,0.8717,High Stress,0.75,Calm,0.523,False,299.74,417.94,187.38,0.08933,0.04427,0.2306,6.208,"comments that these are okay, but i will report later. comments that these are okay.",15,0
clip_0701,Calm,0.8922,Calm,0.65,Calm,0.7953,False,87.69,106.21,19.92,0.08669,0.04968,0.1554,20.0,please max box pick up the strap as well while on on the exit a yellow is where you are now strollness stop a hard time,26,0
clip_0812,Calm,0.9597,Calm,0.65,Calm,0.8358,False,91.94,55.25,10.13,0.07958,0.05116,0.1769,19.968,sector 2. we're good on time. first cop pushing the lawson 13 behind. i'll make them around the small p.u. gain by being slightly more gentle on the bottle out of 13. lawson 5.5.,29,0
clip_0761,High Stress,0.9468,Calm,0.65,High Stress,0.5681,False,97.05,81.44,14.99,0.08503,0.05236,0.2096,20.0,"hello, over. peace. something else. far behind versatappel. and some debris on this straits, offline, on the right. and linblad is out of overtake range. okay, good job, nico. currently p11. p10. our infarction is ghastly. just look at this.",38,2
clip_0944,Calm,0.9063,Calm,0.65,Calm,0.8038,False,129.36,104.79,19.49,0.06118,0.05047,0.183,20.0,"we're doing four burnouts, climbing up from the side. reminder, we've got an empty grid slot in front of us. four burnouts, empty grid slot in front of us. you can reverse, but you can position good there. okay guys, so the strat 7, we're all set. let's press the burn.",50,0
clip_0995,Calm,0.963,Calm,0.65,Calm,0.8378,False,112.86,115.91,34.51,0.06767,0.0735,0.1834,20.0,"left rear. copy that tires look okay, pressure is good. no major issues with the car at the moment, just north your tire, watch your front left.",27,0
clip_0237,Calm,0.6523,Calm,0.65,Calm,0.6514,False,124.75,142.25,32.49,0.08485,0.05018,0.1861,20.0,"single charge only p1, lewis p3, 32.56, you did a 32.49. next car pushing holkenberg 14.14 and watch your d time at the end of the lap. from the holkenberg, how far? holkenberg 6.",28,0
clip_1142,Calm,0.9173,Calm,0.65,Calm,0.8104,False,96.64,69.28,18.17,0.08045,0.05926,0.2133,20.0,"alright so we're driving straight out, we got albin on the straight opening of time, clear behind him. alright so the car behind is now lost, he's 20 seconds back on the slow, he'll be opening of lap shortly. so we're all good on time for a normal out lap.",49,0
clip_1132,High Stress,0.65,High Stress,0.75,High Stress,0.69,False,1998.49,0.0,0.0,0.07483,0.06604,0.2589,8.512,"i want you done on the way bridge. back to ignition on, fire up when we can come stop in the box. just keep an eye on alping. okay, voucher.",30,2
clip_0421,Calm,0.9388,High Stress,0.7,Calm,0.5633,False,118.85,205.45,45.93,0.05547,0.0357,0.1996,20.0,"switch the car to p2 when you're ready. so lewis passing now and then 4 clear behind him. b-norris starting at 11 seconds behind. there we go, strat mode 1. it'll be target to plus 6. target plus 6.",32,0
clip_1257,Frustrated,0.7419,High Stress,0.75,Frustrated,0.4451,False,303.26,1694.59,326.83,0.08153,0.05778,0.1895,35.0,"we need to be in the car, we need a new car. why the f do you know how this seems to me? what i said is going to be a two stopper. what the f ? come on, this guy is the f ! get out of the f ! why? dvd, engine. dvd. yeah! yuki, we need to push harder on tyres, they are looking good now, we need to open the gap to metal. you can push harder.",78,1
clip_0542,Calm,0.9681,Calm,0.65,Calm,0.8409,False,148.09,63.31,13.25,0.09285,0.03595,0.1953,3.648,"and clearly he's just passed that finish line, he's safe to go so he'll be ahead.",16,0
clip_0455,Calm,0.8845,Calm,0.65,Calm,0.7907,False,95.94,77.58,13.21,0.08546,0.05143,0.1889,20.0,7.5 used available to defend 0.9 1.0 0.9 0.9 0.9 that thresholds at 1.8 0.8 debris off,9,0
clip_0425,Calm,0.8446,Calm,0.65,Calm,0.7668,False,93.55,82.37,15.68,0.08495,0.05253,0.1891,20.0,"this car behind, and then the next car will be a norris at 10 seconds. norris at 9 seconds. norris at 6 behind. it's a bit late and watch the white line. so we're just stopping the marks and we'll be back in the garage.",42,0
clip_0028,Calm,0.9594,Calm,0.65,Calm,0.8356,False,174.43,93.63,23.59,0.08607,0.04991,0.1264,3.104,"yeah, it's the same for everyone. we have telemetry on the radio hall.",13,0
clip_0308,Calm,0.754,High Stress,0.7,Frustrated,0.4524,False,101.54,203.92,57.29,0.0868,0.04944,0.1434,20.0,"thank you. keep your best. carlos, well done. that is really an incredibly strong drive. we'll come back strong at the car. it's just going to keep getting better almost, but it's good to get on the board with points. really, really well done. yeah, thank you.",47,1
clip_1306,High Stress,0.6565,High Stress,0.7,High Stress,0.6739,False,185.28,413.94,117.92,0.08297,0.05506,0.0954,6.432,"yeah, we know we're looking into it. unbelievable. it is so f ing unbelievable.",14,2
clip_0200,Calm,0.8572,Calm,0.65,Calm,0.7743,False,98.0,109.21,18.47,0.08377,0.05432,0.1592,20.0,"the wind has increased a couple of times in the engine. your head wind has 7.8. start but then slow head, turn 12. just then slow. then slow to head, to head. you're racing for the topo.",35,0
clip_1294,Frustrated,0.3727,High Stress,0.7,High Stress,0.28,False,179.92,387.49,80.98,0.05039,0.0438,0.1554,29.864,"i do not know what to say about that. i know what to say. i hope he i can't find him now in the pedo because he is he's such an idiot. you get taken out while he's being lapped. i don't know what to say. so, i mean, i'm happy for a second, but we should have won today. obviously, you went to see him after the race as well. what was said, did he try to apologise to you? no, he gave a really stupid response there. so, yeah, i think we're all passionate, so those things happen.",100,2
clip_0791,Calm,0.9368,Calm,0.65,Calm,0.8221,False,103.25,87.96,19.48,0.06778,0.04384,0.187,20.0,how was the locking in step six? i did once for some bear with that let me know what you think on the outnub. yeah we'll let you know. right there on pit exit six by four if you want that's good. 23 behind dusty 13 behind on the push. that's the last as you can.,54,0
clip_0123,Calm,0.5633,Calm,0.65,Calm,0.598,False,132.06,117.72,30.35,0.05839,0.05844,0.1429,13.664,"and you want back to b2 and right-file instruction get the power point on your phone and you stop it ok go ahead just seat tight, vp17 if there is anything happen",29,0
clip_0903,Calm,0.9328,Calm,0.65,Calm,0.8197,False,113.61,130.0,26.63,0.08663,0.04974,0.1541,20.0,"down you fail a4-0, 4-0, you clear a pit exit, fail a4-0. you're good. so normal outlet, please. so weaving those straight modes. franco behind us just finished the time lap. going to go 200 through 7.",32,0
clip_0191,Calm,0.885,Calm,0.65,Calm,0.791,False,102.78,125.74,21.16,0.07589,0.04997,0.1651,20.0,we have to go through the metal. this medium is gonna take 20 to go. we need to do 15 of 70 cars. all that is tires for restart.,27,0
clip_0835,Calm,0.8459,Calm,0.65,Calm,0.7676,False,97.27,90.31,15.21,0.08504,0.05173,0.1899,3.488,"so when you stop at p1 short pause and p0, we're gonna leave.",12,0
clip_0618,Calm,0.9638,Calm,0.65,Calm,0.8383,False,165.59,140.73,39.56,0.06611,0.07422,0.22,2.624,we join the queue and switch off.,7,0
clip_1113,Calm,0.6747,High Stress,0.7,Calm,0.4048,False,167.08,1551.54,219.14,0.06025,0.04325,0.2113,20.0,"no power there, okay. overtake is active. i think they need no power there. we see that, we are on it. okay, no power there. after three nine seconds. yeah, we see. we are looking.",35,0
clip_1274,Calm,0.6964,High Stress,0.75,Calm,0.4178,False,273.01,1326.91,250.82,0.09229,0.03842,0.171,35.0,"further down the field and look, nico rosberg for the second time this race is forcing someone wide. and then he's supposed to now leave him a car's width on the outside which he did. but it's fairly aggressive stuff again from nico rosberg. unfortunately, i think you have to leave the space. all the time you have to leave the space. okay? he's saying you've got to leave me a space on both sides of the race track. not what the regulation says, i understand it. fernando made it pretty clear, he said you have to leave the space. all the time you have to leave the space.",109,0
clip_0590,Calm,0.8502,High Stress,0.7,High Stress,0.5101,False,115.44,161.24,35.8,0.08836,0.04656,0.1904,20.0,"a, think about your task. you have overtake. don't have battery. depth you on the back straight, stay on the left, stay on the left. it will power me. we are on it. use boost on the main straight. don't have.",41,2
clip_0753,High Stress,0.6045,Calm,0.65,Calm,0.3627,False,93.94,58.09,8.98,0.08067,0.04496,0.2014,20.0,"to suffer more from graining. multi b10 position free, multi b10 position free. that's lawson and birstaphin in the pit lane. in front of bairman is lin vlad on a hard currently b10. doing a great job so far nico this race is coming in our direction we are still on plan a.",50,0
clip_1019,Calm,0.6002,High Stress,0.7,Calm,0.3601,False,153.24,318.71,87.63,0.06532,0.06048,0.1732,20.0,trying to retake second place gets to the inside. he's got it. leclerc is going to come back through though. sri karz battling hard gap at 6.9. amazing commitment.,28,0
clip_0767,Calm,0.8898,Calm,0.65,Calm,0.7939,False,96.5,55.71,12.17,0.08231,0.05649,0.1965,20.0,"one. that's ocon on the pit lane and eb plus two, engine braking plus two. car in front are outside of overtake range. small press energy in turn seven. just waiting for saving. now we're building a tire delta. this is good for us.",44,0
clip_1264,Calm,0.6914,High Stress,0.75,High Stress,0.4149,False,239.35,398.09,112.48,0.07703,0.06177,0.2788,11.072,"stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out, stay out",444,2
clip_1192,Calm,0.8712,Calm,0.65,Calm,0.7827,False,103.12,89.26,22.16,0.08492,0.05256,0.217,20.0,"on top of it and for info, oakon boxed. so we are currently p13. okay, valtry, so how are the tires and how much management do you think you're doing? the entire self for sure, wearing but no big drama. i'm doing about solid points to stick to the management.",49,0
clip_1091,Calm,0.8076,Calm,0.65,Calm,0.7445,False,124.87,99.51,25.23,0.08714,0.04884,0.2424,20.0,"gap to bottas is 2 seconds, just 2 seconds, alonso has lost overtake from you. valterri running 40.1. gap to valterri still 2 seconds. gap to valterri is 1.6. fernandes running 140.2, he's on 20 lap hold half.",31,0
clip_0697,Calm,0.9233,Calm,0.65,Calm,0.814,False,91.85,9.17,2.96,0.06819,0.04297,0.2183,2.496,"yes, correct, man. piaz sri was world off the grid.",10,0
clip_0923,Calm,0.9097,Calm,0.65,Calm,0.8058,False,102.54,113.56,28.35,0.08604,0.0507,0.1619,20.0,"they pull enough in front of the garage. you've got hamilton five behind. hamilton time lap five. great mode down to six, no weaving. hamilton not pushing behind the car. hamilton clear behind. straight mode to six, no weaving. steady on track. portion on track.",45,0
clip_0786,Calm,0.8762,Calm,0.65,Calm,0.7857,False,96.61,66.94,12.56,0.08322,0.0439,0.1797,20.0,"250 industry here, halbohlson 2.3 yeah, confirm, right behind industry, 1414, 275 if you can confirm, tailwind 20 kph, turn 6, turn 11 60 kph, turn 14",18,0
clip_0025,Calm,0.8757,High Stress,0.7,Calm,0.5254,False,122.41,261.56,73.87,0.08004,0.05564,0.1951,19.68,thanks for watching guys!,4,0
clip_0743,Calm,0.8757,High Stress,0.7,Calm,0.5254,False,122.25,261.56,74.19,0.08016,0.05566,0.1948,19.68,thanks for watching guys!,4,0
clip_0430,Calm,0.964,Calm,0.65,Calm,0.8384,False,91.57,95.82,21.8,0.08716,0.04882,0.1648,20.0,"so we'll box box, so strap 13. so george is out and running. just wait for other cars to complete their laps. so the car will be george. he is currently at 21 seconds.",32,0
clip_0860,Calm,0.7993,Calm,0.65,Calm,0.7396,False,113.78,134.14,38.54,0.08984,0.0436,0.1983,20.0,"max 3 behind. good job. okay ollie 23 to go. it's been a debris in turn 23. perfect through there. really good lap, ollie. how's the balance? yeah it's good. the tires will not really start if there's a safety car. see.",39,0
clip_0277,Calm,0.5071,High Stress,0.7,Calm,0.3043,False,144.85,162.57,55.71,0.07753,0.03898,0.1581,20.0,"remember forever though. so, pick up rubber where you can mate, pick up rubber where you can. thank you everyone, thank you so much. you made me achieve one of my dreams. thank you.",34,0
clip_0413,Calm,0.9528,Calm,0.65,Calm,0.8317,False,89.8,82.28,13.88,0.08423,0.05373,0.2076,20.0,"it's very small gaps, it's all sectors. still no pressure behind. stay on top of your delta. next car on the left side at 10 seconds. now it's left side spider-backed off, so you just stay on line, keep ties clean. so yeah, sure.",42,0
clip_0217,Calm,0.7881,High Stress,0.7,Calm,0.4729,False,91.43,154.59,28.84,0.08274,0.05595,0.1729,20.0,but it's good to get on the board with points really really well done. yeah thank you let's hope this is a sensitive bonus of motivation for everyone to dig deep now that is that time that's this interview.,39,0
clip_0071,High Stress,0.5118,High Stress,0.7,Calm,0.5871,False,145.98,207.09,63.77,0.07698,0.04676,0.1622,19.68,"hot tap was good. only correction if you try to avoid the stop exit last corner. hot tap marche. so it's 20 milliseconds to liam on 10-6 main limitation. we have a look. oops, oops, sorry, i'm sorry. happy no-clap at your target. we maximized the score.",44,0
clip_0707,Calm,0.8172,High Stress,0.7,Calm,0.4903,False,116.31,196.56,46.87,0.08697,0.04905,0.1934,20.0,"so increase your lift off just try and get that battery on max so this is my north, over 10m this is a standard deployment for no overtaking ok so, bare with last lap 37.6 max, we equal",36,0
clip_1359,Calm,0.6777,High Stress,0.7,Frustrated,0.4066,False,353.22,807.32,197.04,0.05773,0.0397,0.1144,22.184,"it's like someone that can't dance. something magical from you, what would you say to them? don't. simple as that.",20,1
clip_0560,Calm,0.6556,High Stress,0.7,High Stress,0.3934,False,113.6,172.74,39.71,0.09217,0.03845,0.1968,20.0,"second sector, you were 1-10 faster. and 2-10 faster, second. both are lit to 5 behind. that's going to last corner. yes, we saw. both are lit to 3.",25,2
clip_0648,High Stress,0.7296,Calm,0.65,Calm,0.4377,False,119.08,39.79,10.85,0.0641,0.06605,0.1604,3.84,"this was p14, unfortunately with that yellow plug.",7,0
clip_1188,Calm,0.7054,Calm,0.65,Calm,0.6832,False,96.97,66.16,13.49,0.08618,0.05053,0.2233,20.0,"behind him. 15 laps remaining. car behind is russell, we have a blue flag. 1.2 behind russell is checo. both you and checo have overtake. gap to checo behind 1.2. car behind",29,0
clip_0611,Calm,0.8554,Calm,0.65,Calm,0.7732,False,117.52,129.07,31.81,0.09104,0.04107,0.1903,20.0,"3 seconds 6 times to go when you cross the line 210 faster than charles, 4x4, apex 16, the rest is good got behind 3.3 and watch for braking 1014, charles behind you is locking a lot",30,0
clip_0782,Calm,0.9578,Calm,0.65,Calm,0.8347,False,109.52,91.59,32.34,0.0769,0.05521,0.1369,2.848,so we expect the other sync with them when we're on track.,12,0
clip_0512,Calm,0.9376,Calm,0.65,Calm,0.8226,False,150.44,118.89,30.57,0.09014,0.04305,0.2018,15.648,"the lamps will just push as hard as we can on the outlap. we'll do weaving everywhere. i don't even know what the flap is. what's that huge under and over? i know, i know. i can see everything. i know. we're going to take off a chunk of our balance. that'll just get it a little more calm, and we'll get the tires warmed up, and it'll be ok. so we're just going to push on this outlap. you'll weave everywhere.",81,0
clip_0276,Frustrated,0.6226,High Stress,0.75,High Stress,0.3736,False,272.55,2027.6,281.57,0.08801,0.04724,0.1625,20.0,"yes kimmy, come on my son! yes! yes man! we did it! we did it! we did it man! well done there mates! first race win!",26,2
clip_0046,Calm,0.8435,High Stress,0.7,High Stress,0.5061,False,140.27,178.45,55.48,0.09117,0.04089,0.1714,20.0,"vision is good. charge off, charge off. 32 gold from 1. yeah, that's just box. negative, negative. stay out. blue button, higher pm. we need to pass it for the next one. albon pushing 2. albon pushing",34,2
clip_0325,High Stress,0.65,Calm,0.65,High Stress,0.39,False,94.36,72.12,11.91,0.0878,0.04726,0.1703,20.0,"it's on fire. it can be 15 seconds. first cut on a lap. 9 seconds. that's haja. haja at 8 seconds on a lap. hulk, there you go again. he's gone for a head. you just have to build that gap to him.",40,2
clip_1127,Calm,0.942,Calm,0.65,Calm,0.8252,False,97.42,77.25,17.15,0.08277,0.05591,0.2307,20.0,on our outlap. so we're happy to push through 789 for tire. all gears are seat. so we can keep working the tires. so all cars on outlaps currently 10 cars on track. and then down the back straight we're happy to go to dash.,43,0
clip_0114,Calm,0.8673,High Stress,0.7,Calm,0.5204,False,114.31,197.73,36.46,0.08811,0.04698,0.1455,20.0,"so do your lap go back ahead of you you're on a slow lap, you can push through with two heads just happen to be in sync with you good focus on the robot for the full axle and waving 15 was improved, 10-11, 15 was ok just happen to send a head",50,0
clip_0637,Calm,0.9746,Calm,0.65,Calm,0.8448,False,164.41,59.46,15.07,0.06905,0.07168,0.2373,3.456,yes. happy to keep the flap.,6,0
clip_0790,Frustrated,0.9072,Calm,0.65,Frustrated,0.5443,False,134.24,64.23,15.19,0.08862,0.04492,0.1866,2.56,i had a bit of a snap in it.,9,1
clip_1041,Calm,0.4642,High Stress,0.7,High Stress,0.28,False,139.56,259.68,49.2,0.08164,0.05757,0.222,19.648,"oh, jesus. yeah, well done. very well managed, jolly. i can job. oh, rona, when you told me stop managing tires, i wanted to kill you first. copy. i wasn't managing since, i guess, lap 5. and before i forget, this one is dedicated to my mom. it's mother's day today.",50,2
clip_0522,Calm,0.8817,High Stress,0.7,Calm,0.529,False,142.37,322.09,63.47,0.08793,0.0473,0.1564,20.0,"the roof top of it. yeah, understood. there's still two cars ahead to go, stroll's just had a 13. one car ahead to go, which is signed for when you can see. stroll is approaching turn 14 now, and lado happy to complete.",41,0
clip_0652,Calm,0.4099,Calm,0.65,Calm,0.5059,False,133.8,140.71,24.97,0.04944,0.04983,0.1287,7.712,"okay, go for that.",4,0
clip_0428,Calm,0.7261,Calm,0.65,Calm,0.6957,False,100.03,131.73,29.51,0.0836,0.05465,0.1963,20.0,first first start to the lap will be gasly 16 seconds. so fast car to first car to set a time other than us and that's three tenths behind. so still no pressure behind 15 to gasly. still no pressure behind.,39,0
clip_1214,Calm,0.7207,High Stress,0.7,Frustrated,0.4324,False,103.64,157.15,37.41,0.08675,0.04657,0.1334,35.0,"we will pitch with the car is hot gain speed and lift off please. yeah, yeah, that's what i'm doing. but anyway. i'm in front of the airport. there's something strapped with the engine. okay, copy that. we are taking it. there's some friction with the engine. what's happening? yes, whatever you want.",53,1
clip_0038,Calm,0.9574,High Stress,0.7,Calm,0.5745,False,167.44,406.28,84.2,0.08703,0.04902,0.1593,20.0,"i look at it to call it for everyone, i'll be down the virtual door, i'll keep the process. we need to sync 7 to 8 gear, offset 0, smooth in 1, position 10. that's a very low limit if you want to go to the belt. we try to push, we can about push.",50,0
clip_0541,Calm,0.4378,Calm,0.65,High Stress,0.5227,False,148.19,103.83,15.85,0.08679,0.04865,0.2167,3.232,antony lee is approaching the final corner now.,8,2
clip_0204,Calm,0.963,Calm,0.65,Calm,0.8378,False,100.28,105.11,21.14,0.08669,0.04945,0.1551,20.0,"we missed with the compact, but if we don't need to start with product though, we have the test to stay ahead of the compact. okay, give it to me then. i will get. this is earlier.",37,0
clip_1180,Calm,0.9452,Calm,0.65,Calm,0.8271,False,97.88,70.8,18.81,0.07493,0.04914,0.2363,20.0,the so about that which you can help yellow turn fourteen the way you are clear check over one,19,0
clip_0595,Calm,0.7533,High Stress,0.7,Calm,0.452,False,156.89,1406.14,201.35,0.08559,0.04652,0.1922,20.0,"and a light toggle for 16, a light toggle let me know if the gear i'm using is wrong copy 16 was good and gears are good my dash, the cap i'm showing is the hr force let me know",38,0
clip_1268,Calm,0.6231,High Stress,0.75,Frustrated,0.3739,False,243.44,384.88,118.52,0.08517,0.05211,0.2263,35.0,"why did you not tell me about alonso? no, alonso too. yeah, i know. i did say. fernando, do you think we should do a new set of ints or wets, new ints or wets? i think we should go to the garage. i don't know mate, put whatever tyre you want. you know, the last sector is impossible so, even if you put a rocket ship we will be 11. fernando alonso is waiting, fernando alonso on the inside of his teammate, forces fernando alonso wide and they make contact. the two lps but managed to keep going.",98,1
clip_1199,Calm,0.7846,Calm,0.65,Calm,0.7307,False,90.62,56.97,15.54,0.05571,0.05366,0.2061,19.968,"and hulkenberg 11th, 12th was linblad, 13th yourself, ocon behind, and then chaco in e15. all right, so once we box, minder, pull into the plane, and then we will switch off. we'll be going to p0.",32,0
clip_0638,High Stress,0.7409,Calm,0.65,Calm,0.4445,False,138.54,90.46,21.86,0.08464,0.05224,0.1694,2.944,"i can't be very sorry for peter. happy to see you, sir.",12,0
clip_1017,Frustrated,0.8024,High Stress,0.7,Frustrated,0.4815,False,166.13,760.42,123.0,0.0729,0.06819,0.1964,19.968,"well, that's late on the brakes in second position for charles leclerc, who gets past lewis hamilton. what the fuck's he doing? lewis will have overtake. the front just backs up lewis.",32,1
clip_1247,Calm,0.6799,High Stress,0.7,Frustrated,0.4079,False,181.32,939.63,167.41,0.08457,0.05327,0.1774,31.776,"this is not just his rivals that catch the smoke, his own team does too when they mess it up, like in austin 2021 after a painfully slow pit stop. or even himself, like in singapore 2025 when he messed up the gears and just went off on the radio. and following max's example, there's one guy we're really gonna miss, sunoda. seriously, the japanese lad doesn't let anything slide.",69,1
